"Ticket ID",Description,Status,Priority,"Agent ID","Agent Name","Agent Email","Contact ID","Contact Name","Contact Email","Group ID","Group Name","Company ID","Company Name",Comments
1,"Здравствуйте, Макс!

Это ваш первый тикет. Поздравляем! Любой запрос клиента, отправленный через обслуживаемые вами каналы (электронную почту, чат, голосовую почту, веб-форму или твит), превратится в такой же тикет Support. Напишите ответ на этот тикет в пустом поле и нажмите кнопку «Отправить». Чтобы увидеть, как электронное письмо превращается в тикет, отправьте письмо на свой новый аккаунт support@shipweb.zendesk.com. Ваш тикет появится на видах тикетов.
",open,normal,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,,,"Здравствуйте, Макс!

Это ваш первый тикет. Поздравляем! Любой запрос клиента, отправленный через обслуживаемые вами каналы (электронную почту, чат, голосовую почту, веб-форму или твит), превратится в такой же тикет Support. Напишите ответ на этот тикет в пустом поле и нажмите кнопку «Отправить». Чтобы увидеть, как электронное письмо превращается в тикет, отправьте письмо на свой новый аккаунт support@shipweb.zendesk.com. Ваш тикет появится на видах тикетов."
2,"Здравствуйте!
У меня ужасная проблема, и без вас мне не справиться.
Спасибо заранее!
Клиент
",solved,normal,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,,,"Здравствуйте!
У меня ужасная проблема, и без вас мне не справиться.
Спасибо заранее!
Клиент
Привет!

Конечно, мы займемся вашей проблемой прямо сейчас. Не волнуйтесь. Мы обо всем позаботимся.

Всего хорошего!
Агент"
3,"This is test ticket #2",open,,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"This is test ticket #2"
4,"This is test ticket #0",open,,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"This is test ticket #0"
5,"This is test ticket #1",open,,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"This is test ticket #1"
6,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
7,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
8,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
9,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
10,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
11,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
12,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
13,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
14,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
15,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
16,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
17,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
18,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
19,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
20,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
21,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
22,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
23,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
24,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
25,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
26,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
27,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
28,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
29,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
30,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
31,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
32,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
33,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
34,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
35,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
36,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
37,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
38,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
39,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
40,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
41,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
42,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
43,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
44,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
45,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
46,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
47,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
48,"The smoke is very colorful.",open,urgent,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,378888848357,"Макс Штекля",maks.shtieklia@gmail.com,360005465757,Поддержка,360390898157,ShipWeb,"The smoke is very colorful."
